typeName;wasteFactor;maxProductionLimit;techLevel;(No column name)
Khanid Navy Energized Thermic Membrane;10;1000;1;Energized Thermic Membrane I
Khanid Navy Heavy Assault Missile Launcher;10;1000;1;Heavy Assault Missile Launcher I
Khanid Navy Large EMP Smartbomb;10;1000;1;Large EMP Smartbomb I
Khanid Navy Magnetic Plating;10;1000;1;Magnetic Plating I
Khanid Navy Medium EMP Smartbomb;10;1000;1;Medium EMP Smartbomb I
Khanid Navy Reactive Plating;10;1000;1;Reactive Plating I
Khanid Navy Reflective Plating;10;1000;1;Reflective Plating I
Khanid Navy Rocket Launcher;10;1000;1;Rocket Launcher I
Khanid Navy Stasis Webifier;10;1000;1;Stasis Webifier I
Khanid Navy Thermic Plating;10;1000;1;Thermic Plating I
Khanid Navy Warp Disruptor;10;1000;1;Warp Disruptor I
Khanid Navy Warp Scrambler;10;1000;1;Warp Scrambler I
'Kindred' Stabilization Actuator I;10;1000;1;Gyrostabilizer I
Kinetic Deflection Amplifier I;10;300;1;NULL
Kinetic Deflection Amplifier II;10;100;2;Kinetic Deflection Amplifier I
Kitsune;10;10;2;Griffin
'Knight' Medium Energy Transfer Array I;10;1000;1;Medium Energy Transfer Array I
Kronos;10;10;2;Megathron
Lachesis;10;10;2;Celestis
LADAR Backup Array I;10;300;1;NULL
LADAR Backup Array II;10;100;2;LADAR Backup Array I
LADAR Firewall;10;1000;1;LADAR Backup Array I
Ladar Sensor Cluster;10;1000;2;NULL
'Lance' Medium EMP Smartbomb I;10;1000;1;Medium EMP Smartbomb I
Large Algid Energy Administrations Unit I;10;300;1;NULL
Large Algid Energy Administrations Unit II;10;10;2;Large Algid Energy Administrations Unit I
Large Algid Hybrid Administrations Unit I;10;300;1;NULL
Large Algid Hybrid Administrations Unit II;10;10;2;Large Algid Hybrid Administrations Unit I
Large Ancillary Current Router I;10;300;1;NULL
Large Ancillary Current Router II;10;10;2;Large Ancillary Current Router I
Large Anti-EM Pump I;10;300;1;NULL
Large Anti-EM Pump II;10;10;2;Large Anti-EM Pump I
Large Anti-EM Screen Reinforcer I;10;300;1;NULL
Large Anti-EM Screen Reinforcer II;10;10;2;Large Anti-EM Screen Reinforcer I
Large Anti-Explosive Pump I;10;300;1;NULL
Large Anti-Explosive Pump II;10;10;2;Large Anti-Explosive Pump I
Large Anti-Explosive Screen Reinforcer I;10;300;1;NULL
Large Anti-Explosive Screen Reinforcer II;10;10;2;Large Anti-Explosive Screen Reinforcer I
Large Anti-Kinetic Pump I;10;300;1;NULL
Large Anti-Kinetic Pump II;10;10;2;Large Anti-Kinetic Pump I
Large Anti-Kinetic Screen Reinforcer I;10;300;1;NULL
Large Anti-Kinetic Screen Reinforcer II;10;10;2;Large Anti-Kinetic Screen Reinforcer I
Large Anti-Thermal Screen Reinforcer I;10;300;1;NULL
Large Anti-Thermal Screen Reinforcer II;10;10;2;Large Anti-Thermal Screen Reinforcer I
Large Anti-Thermic Pump I;10;300;1;NULL
Large Anti-Thermic Pump II;10;10;2;Large Anti-Thermic Pump I
Large Armor Repairer I;10;300;1;NULL
Large Armor Repairer II;10;100;2;Large Armor Repairer I
Large Artillery Battery;10;5;1;NULL
Large AutoCannon Battery;10;5;1;NULL
Large Auxiliary Nano Pump I;10;300;1;NULL
Large Auxiliary Nano Pump II;10;10;2;Large Auxiliary Nano Pump I
Large Auxiliary Thrusters I;10;300;1;NULL
Large Auxiliary Thrusters II;10;10;2;Large Auxiliary Thrusters I
Large Bay Loading Accelerator I;10;300;1;NULL
Large Bay Loading Accelerator II;10;10;2;Large Bay Loading Accelerator I
Large Beam Laser Battery;10;5;1;NULL
Large Blaster Battery;10;5;1;NULL
Large Capacitor Battery I;10;300;1;NULL
Large Capacitor Battery II;10;100;2;Large Capacitor Battery I
Large Capacitor Control Circuit I;10;300;1;NULL
Large Capacitor Control Circuit II;10;10;2;Large Capacitor Control Circuit I
Large Cargohold Optimization I;10;300;1;NULL
Large Cargohold Optimization II;10;10;2;Large Cargohold Optimization I
Large Core Defence Capacitor Safeguard I;10;300;1;NULL
Large Core Defence Capacitor Safeguard II;10;10;2;Large Core Defence Capacitor Safeguard I
Large Core Defence Charge Economizer I;10;300;1;NULL
Large Core Defence Charge Economizer II;10;10;2;Large Core Defence Charge Economizer I
Large Core Defence Field Extender I;10;300;1;NULL
Large Core Defence Field Extender II;10;10;2;Large Core Defence Field Extender I
Large Core Defence Field Purger I;10;300;1;NULL
Large Core Defence Field Purger II;10;10;2;Large Core Defence Field Purger I
Large Core Defence Operational Solidifier I;10;300;1;NULL
Large Core Defence Operational Solidifier II;10;10;2;Large Core Defence Operational Solidifier I
Large Degenerative Concussion Bomb I;10;1000;1;Large Proton Smartbomb I
Large Drone Control Range Augmentor I;10;300;1;NULL
Large Drone Control Range Augmentor II;10;10;2;Large Drone Control Range Augmentor I
Large Drone Durability Enhancer I;10;300;1;NULL
Large Drone Durability Enhancer II;10;10;2;Large Drone Durability Enhancer I
Large Drone Mining Augmentor I;10;300;1;NULL
Large Drone Mining Augmentor II;10;10;2;Large Drone Mining Augmentor I
Large Drone Repair Augmentor I;10;300;1;NULL
Large Drone Repair Augmentor II;10;10;2;Large Drone Repair Augmentor I
Large Drone Scope Chip I;10;300;1;NULL
Large Drone Scope Chip II;10;10;2;Large Drone Scope Chip I
Large Drone Speed Augmentor I;10;300;1;NULL
Large Drone Speed Augmentor II;10;10;2;Large Drone Speed Augmentor I
Large Dynamic Fuel Valve I;10;300;1;NULL
Large Dynamic Fuel Valve II;10;10;2;Large Dynamic Fuel Valve I
Large Egress Port Maximizer I;10;300;1;NULL
Large Egress Port Maximizer II;10;10;2;Large Egress Port Maximizer I
Large Emission Scope Sharpener I;10;300;1;NULL
Large Emission Scope Sharpener II;10;10;2;Large Emission Scope Sharpener I
Large EMP Smartbomb I;10;300;1;NULL
Large EMP Smartbomb II;10;100;2;Large EMP Smartbomb I
Large Energy Ambit Extension I;10;300;1;NULL
Large Energy Ambit Extension II;10;10;2;Large Energy Ambit Extension I
Large Energy Burst Aerator I;10;300;1;NULL
Large Energy Burst Aerator II;10;10;2;Large Energy Burst Aerator I
Large Energy Collision Accelerator I;10;300;1;NULL
Large Energy Collision Accelerator II;10;10;2;Large Energy Collision Accelerator I
Large Energy Discharge Elutriation I;10;300;1;NULL
Large Energy Discharge Elutriation II;10;10;2;Large Energy Discharge Elutriation I
Large Energy Locus Coordinator I;10;300;1;NULL
Large Energy Locus Coordinator II;10;10;2;Large Energy Locus Coordinator I
Large Energy Metastasis Adjuster I;10;300;1;NULL
Large Energy Metastasis Adjuster II;10;10;2;Large Energy Metastasis Adjuster I
Large Energy Transfer Array I;10;300;1;NULL
Large Energy Transfer Array II;10;100;2;Large Energy Transfer Array I
Large Engine Thermal Shielding I;10;300;1;NULL
Large Engine Thermal Shielding II;10;10;2;Large Engine Thermal Shielding I
Large Graviton Smartbomb I;10;300;1;NULL
Large Graviton Smartbomb II;10;100;2;Large Graviton Smartbomb I
Large Gravity Capacitor Upgrade I;10;300;1;NULL
Large Gravity Capacitor Upgrade II;10;10;2;Large Gravity Capacitor Upgrade I
Large Hull Repairer I;10;300;1;NULL
Large Hull Repairer II;10;100;2;Large Hull Repairer I
Large Hybrid Ambit Extension I;10;300;1;NULL
Large Hybrid Ambit Extension II;10;10;2;Large Hybrid Ambit Extension I
Large Hybrid Burst Aerator I;10;300;1;NULL
Large Hybrid Burst Aerator II;10;10;2;Large Hybrid Burst Aerator I
Large Hybrid Collision Accelerator I;10;300;1;NULL
Large Hybrid Collision Accelerator II;10;10;2;Large Hybrid Collision Accelerator I
Large Hybrid Discharge Elutriation I;10;300;1;NULL
Large Hybrid Discharge Elutriation II;10;10;2;Large Hybrid Discharge Elutriation I
Large Hybrid Locus Coordinator I;10;300;1;NULL
Large Hybrid Locus Coordinator II;10;10;2;Large Hybrid Locus Coordinator I
Large Hybrid Metastasis Adjuster I;10;300;1;NULL
Large Hybrid Metastasis Adjuster II;10;10;2;Large Hybrid Metastasis Adjuster I
Large Hydraulic Bay Thrusters I;10;300;1;NULL
Large Hydraulic Bay Thrusters II;10;10;2;Large Hydraulic Bay Thrusters I
Large Hyperspatial Velocity Optimizer I;10;300;1;NULL
Large Hyperspatial Velocity Optimizer II;10;10;2;Large Hyperspatial Velocity Optimizer I
Large 'Integrative' Hull Repair Unit;10;1000;1;Large Hull Repairer I
Large Inverted Signal Field Projector I;10;300;1;NULL
Large Inverted Signal Field Projector II;10;10;2;Large Inverted Signal Field Projector I
Large Ionic Field Projector I;10;300;1;NULL
Large Ionic Field Projector II;10;10;2;Large Ionic Field Projector I
Large Liquid Cooled Electronics I;10;300;1;NULL
Large Liquid Cooled Electronics II;10;10;2;Large Liquid Cooled Electronics I
Large Low Friction Nozzle Joints I;10;300;1;NULL
Large Low Friction Nozzle Joints II;10;10;2;Large Low Friction Nozzle Joints I
Large Memetic Algorithm Bank I;10;300;1;NULL
Large Memetic Algorithm Bank II;10;10;2;Large Memetic Algorithm Bank I
Large Nanobot Accelerator I;10;300;1;NULL
Large Nanobot Accelerator II;10;10;2;Large Nanobot Accelerator I
Large 'Outlaw' Shield Booster;10;1000;1;Large Shield Booster I
Large Particle Dispersion Augmentor I;10;300;1;NULL
Large Particle Dispersion Augmentor II;10;10;2;Large Particle Dispersion Augmentor I
Large Particle Dispersion Projector I;10;300;1;NULL
Large Particle Dispersion Projector II;10;10;2;Large Particle Dispersion Projector I
Large Plasma Smartbomb I;10;300;1;NULL
Large Plasma Smartbomb II;10;100;2;Large Plasma Smartbomb I
Large Polycarbon Engine Housing I;10;300;1;NULL
Large Polycarbon Engine Housing II;10;10;2;Large Polycarbon Engine Housing I
Large Powergrid Subroutine Maximizer I;10;300;1;NULL
Large Powergrid Subroutine Maximizer II;10;10;2;Large Powergrid Subroutine Maximizer I
Large Projectile Ambit Extension I;10;300;1;NULL
Large Projectile Ambit Extension II;10;10;2;Large Projectile Ambit Extension I
Large Projectile Burst Aerator I;10;300;1;NULL
Large Projectile Burst Aerator II;10;10;2;Large Projectile Burst Aerator I
Large Projectile Collision Accelerator I;10;300;1;NULL
Large Projectile Collision Accelerator II;10;10;2;Large Projectile Collision Accelerator I
Large Projectile Locus Coordinator I;10;300;1;NULL
Large Projectile Locus Coordinator II;10;10;2;Large Projectile Locus Coordinator I
Large Projectile Metastasis Adjuster I;10;300;1;NULL
Large Projectile Metastasis Adjuster II;10;10;2;Large Projectile Metastasis Adjuster I
Large Proton Smartbomb I;10;300;1;NULL
Large Proton Smartbomb II;10;100;2;Large Proton Smartbomb I
Large Pulse Laser Battery;10;5;1;NULL
Large Railgun Battery;10;5;1;NULL
Large Remote Armor Repair System I;10;300;1;NULL
Large Remote Armor Repair System II;10;100;2;Large Remote Armor Repair System I
Large Remote Hull Repair System I;10;300;1;NULL
Large Remote Hull Repair System II;10;100;2;Large Remote Hull Repair System I
Large Remote Repair Augmentor I;10;300;1;NULL
Large Remote Repair Augmentor II;10;10;2;Large Remote Repair Augmentor I
Large Rocket Fuel Cache Partition I;10;300;1;NULL
Large Rocket Fuel Cache Partition II;10;10;2;Large Rocket Fuel Cache Partition I
Large Salvage Tackle I;10;300;1;NULL
Large Salvage Tackle II;10;10;2;Large Salvage Tackle I
Large Semiconductor Memory Cell I;10;300;1;NULL
Large Semiconductor Memory Cell II;10;10;2;Large Semiconductor Memory Cell I
Large Sentry Damage Augmentor I;10;300;1;NULL
Large Sentry Damage Augmentor II;10;10;2;Large Sentry Damage Augmentor I
Large 'Sheriff' Shield Extender;10;1000;1;Large Shield Extender I
Large Shield Booster I;10;300;1;NULL
Large Shield Booster II;10;100;2;Large Shield Booster I
Large Shield Extender I;10;300;1;NULL
Large Shield Extender II;10;100;2;Large Shield Extender I
Large Shield Transporter I;10;300;1;NULL
Large Shield Transporter II;10;100;2;Large Shield Transporter I
Large Ship Assembly Array;10;5;1;NULL
Large Signal Disruption Amplifier I;10;300;1;NULL
Large Signal Disruption Amplifier II;10;10;2;Large Signal Disruption Amplifier I
Large Signal Focusing Kit I;10;300;1;NULL
Large Signal Focusing Kit II;10;10;2;Large Signal Focusing Kit I
Large Stasis Drone Augmentor I;10;300;1;NULL
Large Stasis Drone Augmentor II;10;10;2;Large Stasis Drone Augmentor I
Large Targeting System Subcontroller I;10;300;1;NULL
Large Targeting System Subcontroller II;10;10;2;Large Targeting System Subcontroller I
Large Targeting Systems Stabilizer I;10;300;1;NULL
Large Targeting Systems Stabilizer II;10;10;2;Large Targeting Systems Stabilizer I
Large Tracking Diagnostic Subroutines I;10;300;1;NULL
Large Tracking Diagnostic Subroutines II;10;10;2;Large Tracking Diagnostic Subroutines I
Large Trimark Armor Pump I;10;300;1;NULL
Large Trimark Armor Pump II;10;10;2;Large Trimark Armor Pump I
Large Warhead Calefaction Catalyst I;10;300;1;NULL
Large Warhead Calefaction Catalyst II;10;10;2;Large Warhead Calefaction Catalyst I
Large Warhead Flare Catalyst I;10;300;1;NULL
Large Warhead Flare Catalyst II;10;10;2;Large Warhead Flare Catalyst I
Large Warhead Rigor Catalyst I;10;300;1;NULL
Large Warhead Rigor Catalyst II;10;10;2;Large Warhead Rigor Catalyst I
Large Warp Core Optimizer I;10;300;1;NULL
Large Warp Core Optimizer II;10;10;2;Large Warp Core Optimizer I
Laser Focusing Crystals;10;1000;2;NULL
Lead Charge L;10;1500;1;NULL
Lead Charge M;10;1500;1;NULL
Lead Charge S;10;1500;1;NULL
Lead Charge XL;10;1000;1;NULL
Legion;0;20;3;NULL
Legion Defensive - Adaptive Augmenter;0;1000;3;NULL
Legion Defensive - Augmented Plating;0;1000;3;Legion Defensive - Adaptive Augmenter
Legion Defensive - Nanobot Injector;0;1000;3;Legion Defensive - Adaptive Augmenter
Legion Defensive - Warfare Processor;0;1000;3;Legion Defensive - Adaptive Augmenter
Legion Electronics - Dissolution Sequencer;0;1000;3;Legion Electronics - Energy Parasitic Complex
Legion Electronics - Emergent Locus Analyzer;0;1000;3;Legion Electronics - Energy Parasitic Complex
Legion Electronics - Energy Parasitic Complex;0;1000;3;NULL
Legion Electronics - Tactical Targeting Network;0;1000;3;Legion Electronics - Energy Parasitic Complex
Legion Engineering - Augmented Capacitor Reservoir;0;1000;3;Legion Engineering - Power Core Multiplier
Legion Engineering - Capacitor Regeneration Matrix;0;1000;3;Legion Engineering - Power Core Multiplier
Legion Engineering - Power Core Multiplier;0;1000;3;NULL
Legion Engineering - Supplemental Coolant Injector;0;1000;3;Legion Engineering - Power Core Multiplier
Legion Offensive - Assault Optimization;0;1000;3;Legion Offensive - Drone Synthesis Projector
Legion Offensive - Covert Reconfiguration;0;1000;3;Legion Offensive - Drone Synthesis Projector
Legion Offensive - Drone Synthesis Projector;0;1000;3;NULL
Legion Offensive - Liquid Crystal Magnifiers;0;1000;3;Legion Offensive - Drone Synthesis Projector
Legion Propulsion - Chassis Optimization;0;1000;3;NULL
Legion Propulsion - Fuel Catalyst;0;1000;3;Legion Propulsion - Chassis Optimization
Legion Propulsion - Interdiction Nullifier;0;1000;3;Legion Propulsion - Chassis Optimization
Legion Propulsion - Wake Limiter;0;1000;3;Legion Propulsion - Chassis Optimization
Leviathan;10;1;1;NULL
'Libram' Codebreaker I;10;1000;1;NULL
Light Armor Maintenance Bot I;10;1500;1;NULL
Light Armor Maintenance Bot II;10;100;2;Light Armor Maintenance Bot I
Light Electron Blaster I;10;300;1;NULL
Light Electron Blaster II;10;100;2;Light Electron Blaster I
Light Ion Blaster I;10;300;1;NULL
Light Ion Blaster II;10;100;2;Light Ion Blaster I
Light Neutron Blaster I;10;300;1;NULL
Light Neutron Blaster II;10;100;2;Light Neutron Blaster I
Light Shield Maintenance Bot I;10;1500;1;NULL
Light Shield Maintenance Bot II;10;100;2;Light Shield Maintenance Bot I
Limited Expanded 'Archiver' Cargo I;10;1000;1;Expanded Cargohold I
Limited Mega Ion Siege Blaster I;10;1000;1;Ion Siege Blaster Cannon I
'Limos' Citadel Cruise Launcher I;10;1000;1;Citadel Cruise Launcher I
Linear Shield Emitter;10;1000;2;NULL
Lockbreaker Bomb;10;300;1;NULL
Loki;0;20;3;NULL
Loki Defensive - Adaptive Augmenter;0;1000;3;Loki Defensive - Adaptive Shielding
Loki Defensive - Adaptive Shielding;0;1000;3;NULL
Loki Defensive - Amplification Node;0;1000;3;Loki Defensive - Adaptive Shielding
Loki Defensive - Warfare Processor;0;1000;3;Loki Defensive - Adaptive Shielding
Loki Electronics - Dissolution Sequencer;0;1000;3;Loki Electronics - Immobility Drivers
Loki Electronics - Emergent Locus Analyzer;0;1000;3;Loki Electronics - Immobility Drivers
Loki Electronics - Immobility Drivers;0;1000;3;NULL
Loki Electronics - Tactical Targeting Network;0;1000;3;Loki Electronics - Immobility Drivers
Loki Engineering - Augmented Capacitor Reservoir;0;1000;3;Loki Engineering - Power Core Multiplier
Loki Engineering - Capacitor Regeneration Matrix;0;1000;3;Loki Engineering - Power Core Multiplier
Loki Engineering - Power Core Multiplier;0;1000;3;NULL
Loki Engineering - Supplemental Coolant Injector;0;1000;3;Loki Engineering - Power Core Multiplier
Loki Offensive - Covert Reconfiguration;0;1000;3;Loki Offensive - Turret Concurrence Registry
Loki Offensive - Hardpoint Efficiency Configuration;0;1000;3;Loki Offensive - Turret Concurrence Registry
Loki Offensive - Projectile Scoping Array;0;1000;3;Loki Offensive - Turret Concurrence Registry
Loki Offensive - Turret Concurrence Registry;0;1000;3;NULL
Loki Propulsion - Chassis Optimization;0;1000;3;NULL
Loki Propulsion - Fuel Catalyst;0;1000;3;Loki Propulsion - Chassis Optimization
Loki Propulsion - Intercalated Nanofibers;0;1000;3;Loki Propulsion - Chassis Optimization
Loki Propulsion - Interdiction Nullifier;0;1000;3;Loki Propulsion - Chassis Optimization
'Longbow' Medium Pulse Laser I;10;1000;1;Medium Pulse Laser I
'Love' Medium Remote Armor Repair System I;10;1000;1;Medium Remote Armor Repair System I
'Mace' Dual Light Beam Laser I;10;1000;1;Dual Light Beam Laser I
Machariel;10;10;1;NULL
Mackinaw;10;10;2;Retriever
Maelstrom;10;10;1;NULL
'Mafia' Energized Magnetic Membrane I;10;1000;1;Energized Magnetic Membrane I
Magnate;10;30;1;NULL
Magnetic Field Stabilizer I;10;300;1;NULL
Magnetic Field Stabilizer II;10;100;2;Magnetic Field Stabilizer I
Magnetic Plating I;10;300;1;NULL
Magnetic Plating II;10;100;2;Magnetic Plating I
Magnetic Scattering Amplifier I;10;300;1;NULL
Magnetic Scattering Amplifier II;10;100;2;Magnetic Scattering Amplifier I
Magnetometric Backup Array I;10;300;1;NULL
Magnetometric Backup Array II;10;100;2;Magnetometric Backup Array I
Magnetometric Firewall;10;1000;1;Magnetometric Backup Array I
Magnetometric Sensor Cluster;10;1000;2;NULL
Magpulse Thruster;10;1000;2;NULL
Malediction;10;10;2;Executioner
Malice;10;1000;2;NULL
Maller;10;15;1;NULL
Malleus;10;10;1;NULL
Mammoth;10;15;1;NULL
Mangled Sansha Codebreaker;10;1000;1;NULL
'Mangonel' Heat Sink I;10;1000;1;Heat Sink I
Manticore;10;10;2;Kestrel
Mantis;10;10;1;NULL
'Marketeer' Tracking Computer I;10;1000;1;Tracking Computer I
'Marshall' Ion Field Projector;10;1000;2;ECM - Ion Field Projector I
Mastodon;10;10;2;Mammoth
Maulus;10;30;1;NULL
'Meditation' Medium Armor Repairer I;10;1000;1;Medium Armor Repairer I
Medium Algid Energy Administrations Unit I;10;300;1;NULL
Medium Algid Energy Administrations Unit II;10;10;2;Medium Algid Energy Administrations Unit I
Medium Algid Hybrid Administrations Unit I;10;300;1;NULL
Medium Algid Hybrid Administrations Unit II;10;10;2;Medium Algid Hybrid Administrations Unit I
Medium Ancillary Current Router I;10;300;1;NULL
Medium Ancillary Current Router II;10;10;2;Medium Ancillary Current Router I
Medium Anti-EM Pump I;10;300;1;NULL
Medium Anti-EM Pump II;10;10;2;Medium Anti-EM Pump I
Medium Anti-EM Screen Reinforcer I;10;300;1;NULL
Medium Anti-EM Screen Reinforcer II;10;10;2;Medium Anti-EM Screen Reinforcer I
Medium Anti-Explosive Pump I;10;300;1;NULL
Medium Anti-Explosive Pump II;10;10;2;Medium Anti-Explosive Pump I
Medium Anti-Explosive Screen Reinforcer I;10;300;1;NULL
Medium Anti-Explosive Screen Reinforcer II;10;10;2;Medium Anti-Explosive Screen Reinforcer I
Medium Anti-Kinetic Pump I;10;300;1;NULL
Medium Anti-Kinetic Pump II;10;10;2;Medium Anti-Kinetic Pump I
Medium Anti-Kinetic Screen Reinforcer I;10;300;1;NULL
Medium Anti-Kinetic Screen Reinforcer II;10;10;2;Medium Anti-Kinetic Screen Reinforcer I
Medium Anti-Thermal Screen Reinforcer I;10;300;1;NULL
Medium Anti-Thermal Screen Reinforcer II;10;10;2;Medium Anti-Thermal Screen Reinforcer I
Medium Anti-Thermic Pump I;10;300;1;NULL
Medium Anti-Thermic Pump II;10;10;2;Medium Anti-Thermic Pump I
Medium Armor Maintenance Bot I;10;1500;1;NULL
Medium Armor Maintenance Bot II;10;100;2;Medium Armor Maintenance Bot I
Medium Armor Repairer I;10;300;1;NULL
Medium Armor Repairer II;10;100;2;Medium Armor Repairer I
Medium Artillery Battery;10;5;1;NULL
Medium AutoCannon Battery;10;5;1;NULL
Medium Auxiliary Nano Pump I;10;300;1;NULL
Medium Auxiliary Nano Pump II;10;10;2;Medium Auxiliary Nano Pump I
Medium Auxiliary Thrusters I;10;300;1;NULL
Medium Auxiliary Thrusters II;10;10;2;Medium Auxiliary Thrusters I
Medium Bay Loading Accelerator I;10;300;1;NULL
Medium Bay Loading Accelerator II;10;10;2;Medium Bay Loading Accelerator I
Medium Beam Laser Battery;10;5;1;NULL
Medium Beam Laser I;10;300;1;NULL
Medium Beam Laser II;10;100;2;Medium Beam Laser I
Medium Biochemical Reactor Array;10;5;1;NULL
Medium Blaster Battery;10;5;1;NULL
Medium 'Canyon' Shield Extender;10;1000;1;Medium Shield Extender I
Medium Capacitor Battery I;10;300;1;NULL
Medium Capacitor Battery II;10;100;2;Medium Capacitor Battery I
Medium Capacitor Booster I;10;300;1;NULL
Medium Capacitor Booster II;10;100;2;Medium Capacitor Booster I
Medium Capacitor Control Circuit I;10;300;1;NULL
Medium Capacitor Control Circuit II;10;10;2;Medium Capacitor Control Circuit I
Medium Cargohold Optimization I;10;300;1;NULL
Medium Cargohold Optimization II;10;10;2;Medium Cargohold Optimization I
Medium Core Defence Capacitor Safeguard I;10;300;1;NULL
Medium Core Defence Capacitor Safeguard II;10;10;2;Medium Core Defence Capacitor Safeguard I
Medium Core Defence Charge Economizer I;10;300;1;NULL
Medium Core Defence Charge Economizer II;10;10;2;Medium Core Defence Charge Economizer I
Medium Core Defence Field Extender I;10;300;1;NULL
Medium Core Defence Field Extender II;10;10;2;Medium Core Defence Field Extender I
Medium Core Defence Field Purger I;10;300;1;NULL
Medium Core Defence Field Purger II;10;10;2;Medium Core Defence Field Purger I
Medium Core Defence Operational Solidifier I;10;300;1;NULL
Medium Core Defence Operational Solidifier II;10;10;2;Medium Core Defence Operational Solidifier I
Medium Degenerative Concussion Bomb I;10;1000;1;Medium Proton Smartbomb I
Medium Drone Control Range Augmentor I;10;300;1;NULL
Medium Drone Control Range Augmentor II;10;10;2;Medium Drone Control Range Augmentor I
Medium Drone Durability Enhancer I;10;300;1;NULL
Medium Drone Durability Enhancer II;10;10;2;Medium Drone Durability Enhancer I
Medium Drone Mining Augmentor I;10;300;1;NULL
Medium Drone Mining Augmentor II;10;10;2;Medium Drone Mining Augmentor I
Medium Drone Repair Augmentor I;10;300;1;NULL
Medium Drone Repair Augmentor II;10;10;2;Medium Drone Repair Augmentor I
Medium Drone Scope Chip I;10;300;1;NULL
Medium Drone Scope Chip II;10;10;2;Medium Drone Scope Chip I
Medium Drone Speed Augmentor I;10;300;1;NULL
Medium Drone Speed Augmentor II;10;10;2;Medium Drone Speed Augmentor I
Medium Dynamic Fuel Valve I;10;300;1;NULL
Medium Dynamic Fuel Valve II;10;10;2;Medium Dynamic Fuel Valve I
Medium Egress Port Maximizer I;10;300;1;NULL
Medium Egress Port Maximizer II;10;10;2;Medium Egress Port Maximizer I
Medium Emission Scope Sharpener I;10;300;1;NULL
Medium Emission Scope Sharpener II;10;10;2;Medium Emission Scope Sharpener I
Medium EMP Smartbomb I;10;300;1;NULL
Medium EMP Smartbomb II;10;100;2;Medium EMP Smartbomb I
Medium Energy Ambit Extension I;10;300;1;NULL
Medium Energy Ambit Extension II;10;10;2;Medium Energy Ambit Extension I
Medium Energy Burst Aerator I;10;300;1;NULL
Medium Energy Burst Aerator II;10;10;2;Medium Energy Burst Aerator I
Medium Energy Collision Accelerator I;10;300;1;NULL
Medium Energy Collision Accelerator II;10;10;2;Medium Energy Collision Accelerator I
Medium Energy Discharge Elutriation I;10;300;1;NULL
Medium Energy Discharge Elutriation II;10;10;2;Medium Energy Discharge Elutriation I
Medium Energy Locus Coordinator I;10;300;1;NULL
Medium Energy Locus Coordinator II;10;10;2;Medium Energy Locus Coordinator I
Medium Energy Metastasis Adjuster I;10;300;1;NULL
Medium Energy Metastasis Adjuster II;10;10;2;Medium Energy Metastasis Adjuster I
Medium Energy Neutralizer I;10;300;1;NULL
Medium Energy Neutralizer II;10;100;2;Medium Energy Neutralizer I
Medium Energy Transfer Array I;10;300;1;NULL
Medium Energy Transfer Array II;10;100;1;Medium Energy Transfer Array I
Medium Engine Thermal Shielding I;10;300;1;NULL
Medium Engine Thermal Shielding II;10;10;2;Medium Engine Thermal Shielding I
Medium 'Gattotte' Capacitor Booster;10;1000;2;Medium Capacitor Booster I
Medium Graviton Smartbomb I;10;300;1;NULL
Medium Graviton Smartbomb II;10;100;2;Medium Graviton Smartbomb I
Medium Gravity Capacitor Upgrade I;10;300;1;NULL
Medium Gravity Capacitor Upgrade II;10;10;2;Medium Gravity Capacitor Upgrade I
Medium Hull Repairer I;10;300;1;NULL
Medium Hull Repairer II;10;100;2;Medium Hull Repairer I
Medium Hybrid Ambit Extension I;10;300;1;NULL
Medium Hybrid Ambit Extension II;10;10;2;Medium Hybrid Ambit Extension I
Medium Hybrid Burst Aerator I;10;300;1;NULL
Medium Hybrid Burst Aerator II;10;10;2;Medium Hybrid Burst Aerator I
Medium Hybrid Collision Accelerator I;10;300;1;NULL
Medium Hybrid Collision Accelerator II;10;10;2;Medium Hybrid Collision Accelerator I
Medium Hybrid Discharge Elutriation I;10;300;1;NULL
Medium Hybrid Discharge Elutriation II;10;10;2;Medium Hybrid Discharge Elutriation I
Medium Hybrid Locus Coordinator I;10;300;1;NULL
Medium Hybrid Locus Coordinator II;10;10;2;Medium Hybrid Locus Coordinator I
Medium Hybrid Metastasis Adjuster I;10;300;1;NULL
Medium Hybrid Metastasis Adjuster II;10;10;2;Medium Hybrid Metastasis Adjuster I
Medium Hydraulic Bay Thrusters I;10;300;1;NULL
Medium Hydraulic Bay Thrusters II;10;10;2;Medium Hydraulic Bay Thrusters I
Medium Hyperspatial Velocity Optimizer I;10;300;1;NULL
Medium Hyperspatial Velocity Optimizer II;10;10;2;Medium Hyperspatial Velocity Optimizer I
Medium 'Integrative' Hull Repair Unit;10;1000;1;Medium Hull Repairer I
Medium Intensive Refining Array;10;5;1;NULL
Medium Inverted Signal Field Projector I;10;300;1;NULL
Medium Inverted Signal Field Projector II;10;10;2;Medium Inverted Signal Field Projector I
Medium Ionic Field Projector I;10;300;1;NULL
Medium Ionic Field Projector II;10;10;2;Medium Ionic Field Projector I
Medium Liquid Cooled Electronics I;10;300;1;NULL
Medium Liquid Cooled Electronics II;10;10;2;Medium Liquid Cooled Electronics I
Medium 'Lone Ranger' Shield Booster;10;1000;1;Medium Shield Booster I
